,NAME,FIRST NAME,TRIBE,NAT.,D,M,Y,ROUTE,CAUSE,
48,BENKIN,Igor,,RUS,14.,08.,1996,N ridge,"Exhaustion, hypoxia",x
49,CIOROIANU,Mihai,,ROM,10.,07.,1999,"SE ridge, below Camp I",Hit by rockFall,
50,PARK,Young-Do,,SK,22.,07.,2001,"SSE ridge, near Camp IV",Fall,
51,AJMAN,Sher,,PAK,13.,07.,2002,"SSE ridge, below Camp I",Avalanche,
52,IQBAL,Muhammad,,PAK,22.,07.,2002,"SE ridge, near Camp III",Fall,
53,GROHS,Klaus-Dieter,,GER,21.,07.,2003,SE ridge,Fall,
54,LEE,Hwa-Hyeung,,SK,08.,06.,2004,N ridge,Avalanche,
55,KIM,Jae-Young,,SK,08.,06.,2004,N ridge,Avalanche,
56,PAE,Kyong-Kyu,,SK,08.,06.,2004,N ridge,Avalanche,
57,GUBAEV,Aleksandr,,KYR,29.,07.,2004,"SE ridge, during descent",Disappearance,x
58,SOKOLOV,Sergei,,RUS,02.,08.,2004,"SE ridge, between C4 and C3",Disappearance,
59,KHADEM,Davoud,,IRN,02.,08.,2004,"SE ridge, between C4 and C3",Disappearance,
60,DE LA MATTA,Manel,Catalan,E,19.,08.,2004,"SSW ridge, in Camp I",peritonis,
61,UTESHEV,Yuri,,RUS,13.,08.,2006,"SE ridge, on summit ridge",Avalanche,
62,KUZNETSOV,Piotr,,RUS,13.,08.,2006,"SE ridge, on summit ridge",Avalanche,
63,FOIGT,Aleksandr,,RUS,13.,08.,2006,"SE ridge, on summit ridge",Avalanche,
64,KUVAKIN,Arkadi,,RUS,13.,08.,2006,"SE ridge, on summit ridge",Avalanche,
65,NIMA NURBU,,Sherpa,NEP,20.,07.,2007,SE ridge,Fall,
66,ZAVKA,Stefano,,ITA,20.,07.,2007,SE ridge,Disappearance,x
67,MANDIĆ,Dren,,SER,01.,08.,2008,SE ridge (below Bottleneck),Fall,
68,BAIG,Jahan,,PAK,01.,08.,2008,SE ridge (below Bottleneck),Fall,
69,BAE,Rolf,,NOR,01.,08.,2008,SE ridge (near Bottleneck),Fall after ice avalanche,
70,JUMIK BHOTE,,Bhutia,NEP,01.,08.,2008,SE ridge (near Bottleneck),Fall after ice avalanche,x
71,PASANG BHOTE a,,Bhutia,NEP,01.,08.,2008,SE ridge (near Bottleneck),Fall after ice avalanche,
72,McDONNELL,Gerard,,IRE,02.,08.,2008,SE ridge (near Bottleneck),Fall after ice avalanche,x
73,D'AUBAREDE,Hugues,,F,02.,08.,2008,SE ridge (near Bottleneck),Probably exhaustion after ice avalanche,x
74,KARIM,Mehrban,,PAK,02.,08.,2008,SE ridge (near Bottleneck),Fall after ice avalanche,x
75,KIM,Hyo-Gyung,,SK,02.,08.,2008,SE ridge (near Bottleneck),Probably exhaustion after ice avalanche,x
76,PARK,Kyeong-Hyo,,SK,02.,08.,2008,SE ridge (near Bottleneck),Probably exhaustion after ice avalanche,x
77,HWANG,Dong-Jin,,SK,02.,08.,2008,SE ridge (near Bottleneck),Probably exhaustion after ice avalanche,x
78,FAIT,Michele,,ITA,23.,06.,2009,"SSE ridge, skiing",Fall,
79,UNZHIEV,Petar Georgiev,,BUL,17.,07.,2010,SE Ridge,Altitude Sickness,
80,ERICSSON,Fredrik,,S,06.,08.,2010,SE Ridge,Fall,
© Eberhard Jurgalski for 8000ers.com,,,,,,,,,,
